WC_Location,WorkCenter,Date_Wrk,Shift_Wrk,Part_Num,unitperHr,cycle_time(mins),UpQty,scrap,schMins,PlannedDownMins,stopTime,ExpectedRun,ActualRunTime,OEEAvailability,ActualPerformance,ExpectedPerformance,OEEPerformance,OEEQuality
Mytox 1,205-0300P007,2023-03-29 00:00:00,1,G47PC101,1101.00,0.05,6600,0,480,45,0,385,385,1,6600,7700,0.8571428571428571,1
Mytox 1,205-0300P007,2023-03-29 00:00:00,2,CDTBU001,900.00,0.07,1760,0,480,120,0,310,310,1,1760,4428.571428571428,0.3974193548387097,1
Mytox 1,206-0800P008,2023-03-29 00:00:00,1,CDTRU001,900.00,0.07,3670,0,570,75,0,445,445,1,3670,6357.142857142857,0.5773033707865168,1
Mytox 1,206-0800P008,2023-03-29 00:00:00,1,D76BU301,2128.00,0.03,2440,0,270,75,45,195,150,0.7692307692307693,2440,5000,0.488,1
Mytox 1,206-0800P008,2023-03-29 00:00:00,2,CDTRU001,900.00,0.07,2323,0,165,0,0,165,165,1,2323,2357.142857142857,0.9855151515151517,1
Mytox 1,206-0800P008,2023-03-29 00:00:00,2,CDTRU011,900.00,0.07,3870,0,315,90,0,175,175,1,3870,2499.9999999999995,1.5480000000000003,1
Mytox 1,207-0400P009,2023-03-29 00:00:00,1,X65MUC01,87.00,0.69,474,30,480,30,90,400,310,0.775,474,449.2753623188406,1.055032258064516,0.9367088607594937
Mytox 1,212-0200P003,2023-03-29 00:00:00,3,N28GR156,200.00,0.3,782,2,240,0,0,240,240,1,782,800,0.9775,0.9974424552429667
Mytox 1,212-0200P003,2023-03-29 00:00:00,3,N29GL156,200.00,0.3,782,2,240,0,0,240,240,1,782,800,0.9775,0.9974424552429667
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,1,G31GR006,125.00,0.48,203,3,120,0,0,120,120,1,203,250,0.812,0.9852216748768473
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,1,G57LR106,66.00,0.91,114,0,480,90,0,340,340,1,114,373.6263736263736,0.30511764705882355,1
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,1,G73RL006,42.00,1.43,254,4,150,0,0,150,150,1,254,104.8951048951049,2.421466666666667,0.984251968503937
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,1,G74RR006,42.00,1.43,254,4,150,0,0,150,150,1,254,104.8951048951049,2.421466666666667,0.984251968503937
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,2,G73RL006,42.00,1.43,304,4,240,0,0,240,240,1,304,167.83216783216784,1.8113333333333332,0.9868421052631579
Mytox 1,220-C1UX WELDING,2023-03-29 00:00:00,2,G74RR006,42.00,1.43,304,4,240,0,120,240,120,0.5,304,83.91608391608392,3.6226666666666665,0.9868421052631579
Mytox 1,232-0100P032,2023-03-29 00:00:00,1,D76BU312,180.00,0.33,705,5,360,90,0,220,220,1,705,666.6666666666666,1.0575,0.9929078014184397
Mytox 1,240-0200P024,2023-03-29 00:00:00,2,T78GL016,184.00,0.33,840,0,480,0,0,430,430,1,840,1303.030303030303,0.6446511627906977,1
Mytox 1,240-0200P024,2023-03-29 00:00:00,2,T78GL056,184.00,0.33,500,0,240,0,0,240,240,1,500,727.2727272727273,0.6875,1
Mytox 1,240-0200P024,2023-03-29 00:00:00,2,T78GR016,184.00,0.33,840,0,480,0,0,430,430,1,840,1303.030303030303,0.6446511627906977,1
Mytox 1,240-0200P024,2023-03-29 00:00:00,2,T78GR056,184.00,0.33,500,0,240,0,0,240,240,1,500,727.2727272727273,0.6875,1
Mytox 1,241-0200P011,2023-03-29 00:00:00,2,N68GR136,200.00,0.3,600,0,240,0,0,240,240,1,600,800,0.75,1
Mytox 1,241-0200P011,2023-03-29 00:00:00,2,N69GL136,200.00,0.3,600,0,240,0,0,240,240,1,600,800,0.75,1
Mytox 1,241-0200P011,2023-03-29 00:00:00,3,N68GR136,200.00,0.3,840,0,480,0,0,430,430,1,840,1433.3333333333335,0.5860465116279069,1
Mytox 1,241-0200P011,2023-03-29 00:00:00,3,N69GL136,200.00,0.3,840,0,480,0,0,430,430,1,840,1433.3333333333335,0.5860465116279069,1
Mytox 1,242-0200P023,2023-03-29 00:00:00,2,T78GL126,184.00,0.33,390,0,240,0,0,240,240,1,390,727.2727272727273,0.53625,1
Mytox 1,242-0200P023,2023-03-29 00:00:00,2,T78GR126,184.00,0.33,390,0,240,0,0,240,240,1,390,727.2727272727273,0.53625,1
Mytox 1,242-0200P023,2023-03-29 00:00:00,3,T78GL016,184.00,0.33,722,2,480,0,90,430,340,0.7906976744186046,722,1030.3030303030303,0.700764705882353,0.997229916897507
Mytox 1,242-0200P023,2023-03-29 00:00:00,3,T78GR016,184.00,0.33,724,4,480,0,90,430,340,0.7906976744186046,724,1030.3030303030303,0.7027058823529412,0.994475138121547
Mytox 1,262-WS WELDER,2023-03-29 00:00:00,1,CW2MU002,29.00,2.07,200,0,480,19.8,0,410.2,410.2,1,200,198.16425120772948,1.0092637737688932,1
Mytox 1,262-WS WELDER,2023-03-29 00:00:00,2,CW2MU002,29.00,2.07,110,25,480,0,330,430,100,0.23255813953488372,110,48.309178743961354,2.277,0.7727272727272727
Mytox 1,272-ANOTECH ROLLING MILL #15,2023-03-29 00:00:00,1,N14GU010,1200.00,0.05,4020,20,480,60,0,370,370,1,4020,7400,0.5432432432432432,0.9950248756218906
Mytox 1,292-0100P002,2023-03-29 00:00:00,1,N14BC011,1250.00,0.05,3650,0,240,30,0,210,210,1,3650,4200,0.8690476190476191,1
Mytox 1,294-SW027,2023-03-29 00:00:00,1,N14GR022,200.00,0.3,605,5,240,0,30,240,210,0.875,605,700,0.8642857142857143,0.9917355371900827
